Object ID,Date,Year,Price,Log Price,Postcode,Housing Type,New Build,Number of Turbines in View,Can View Turbines?,Buffer Group,2011-2014 (1)/2014-2017(2)/2017-2020(3)
2AC10E50-4FE3-1AF6-E050-A8C063052BA1,11/12/2015,2015,205000,5.311753861,HU15 2GB,D,N,15,Yes,4,2
2D1E4B26-AB9F-FCD1-E050-A8C0630544EC,11/09/2015,2015,213000,5.328379603,DN14 0WN,D,N,15,Yes,4,2
2D1E4B26-ACB2-FCD1-E050-A8C0630544EC,01/02/2016,2016,243000,5.385606274,YO8 8GY,D,Y,15,Yes,4,2
2D1E4B27-107C-FCD1-E050-A8C0630544EC,22/01/2016,2016,164000,5.214843848,DN14 6WB,D,N,15,Yes,3,2
2D2BA462-AA41-46B0-9335-6BE9B84080AA,17/07/2013,2013,100000,5,DN14 6WB,D,N,15,Yes,3,1
2D544EF1-C69A-4812-AD7A-02BCCB77E0AE,02/09/2015,2015,169000,5.227886705,DN17 4QJ,D,N,15,Yes,3,2
2F032866-4CE6-4577-A5E7-CEAF04CE131E,10/11/2014,2014,168000,5.225309282,DN8 5GG,D,N,15,Yes,3,2
2F72494C-A780-4B7F-9244-5AB3C4CB26EB,06/01/2012,2012,68000,4.832508913,DN14 8AQ,D,N,15,Yes,2,1
2FD36065-9A76-4BF8-E050-A8C0620562B1,01/03/2016,2016,242000,5.383815366,DN9 1PA,D,N,15,Yes,4,2
2FD36065-9B3F-4BF8-E050-A8C0620562B1,18/03/2016,2016,223500,5.349277527,DN14 7QP,D,N,15,Yes,4,2
2FD36065-E5D4-4BF8-E050-A8C0620562B1,02/03/2016,2016,220000,5.342422681,YO8 6QD,D,N,15,Yes,4,2
2FD36065-9C75-4BF8-E050-A8C0620562B1,28/01/2016 00:00,2016,221000,5.344392274,DN9 1GX,D,N,,,4,2
2FD36065-9CD2-4BF8-E050-A8C0620562B1,17/07/2015 00:00,2015,148000,5.170261715,DN9 1JT,D,N,,,4,2
2FD36066-4B5F-4BF8-E050-A8C0620562B1,03/03/2016,2016,180000,5.255272505,DN14 6AY,D,Y,15,Yes,3,2
30846470-2058-4A5C-A32D-41C8CE5C7378,05/04/2012,2012,110000,5.041392685,DN8 5AA,D,N,15,Yes,3,1
31FB4C17-685C-57B9-E050-A8C063053436,30/03/2016,2016,270000,5.431363764,DN14 6UY,D,N,15,Yes,2,2
31FB4C17-68C2-57B9-E050-A8C063053436,23/03/2016,2016,190000,5.278753601,DN14 6NL,D,N,15,Yes,3,2
323C6B93-A967-49AB-90A5-C0FFC06FB635,24/10/2014,2014,115000,5.06069784,DN8 5TU,D,N,15,Yes,3,2
326FFCFB-48D5-4878-9EF7-3CA570F7AACA,28/10/2011,2011,39000,4.591064607,DN14 8AQ,D,N,15,Yes,2,1
34428D7E-BEAC-B86C-E050-A8C06205059C,17/03/2016,2016,180000,5.255272505,DN14 6AY,D,Y,15,Yes,3,2
34428D7E-BEB3-B86C-E050-A8C06205059C,31/03/2016,2016,180000,5.255272505,DN14 6AY,D,Y,15,Yes,3,2
34428D7E-BEB7-B86C-E050-A8C06205059C,14/04/2016,2016,180000,5.255272505,DN14 6AY,D,Y,15,Yes,3,2
369DFB15-C804-3A19-E050-A8C0620518C6,02/06/2016,2016,225000,5.352182518,DN17 3JA,D,N,15,Yes,4,2
369DFB15-C8C4-3A19-E050-A8C0620518C6,01/06/2016,2016,300000,5.477121255,DN9 1PY,D,N,15,Yes,4,2
369DFB16-12CF-3A19-E050-A8C0620518C6,08/04/2016,2016,242500,5.384711743,YO8 6QD,D,N,15,Yes,4,2
369DFB16-3CE1-3A19-E050-A8C0620518C6,03/06/2016,2016,193000,5.285557309,DN7 6PP,D,N,15,Yes,4,2
369DFB16-3E6A-3A19-E050-A8C0620518C6,12/05/2016,2016,105000,5.021189299,DN8 5AA,D,N,15,Yes,3,2
39140479-BB3C-3206-E050-A8C063057647,08/07/2016,2016,289000,5.460897843,DN9 1PY,D,N,15,Yes,4,2
3914047A-72E3-3206-E050-A8C063057647,08/07/2016,2016,172000,5.235528447,DN14 6US,D,N,15,Yes,2,2
3914047A-7390-3206-E050-A8C063057647,12/05/2016,2016,210000,5.322219295,DN14 6AY,D,Y,15,Yes,3,2
3914047A-7391-3206-E050-A8C063057647,13/05/2016,2016,160000,5.204119983,DN14 6AY,D,Y,15,Yes,3,2
392F9DC2-CB28-4F9B-86E0-977B5827897A,12/07/2013,2013,217500,5.337459261,DN14 9TE,D,N,15,Yes,4,1
3983E0BC-D8CB-47B8-BFCB-BE5E5E1CFDF0,07/02/2013,2013,177000,5.247973266,DN14 6WB,D,N,15,Yes,3,1
3A36A474-793F-49A8-A636-DC4007B31919,18/01/2012,2012,115000,5.06069784,DN7 6AT,D,N,15,Yes,4,1
3B7E0B90-739F-EA99-E050-A8C062057E77,03/08/2016,2016,160000,5.204119983,DN7 6AT,D,N,15,Yes,4,2
3B7E0B90-73D2-EA99-E050-A8C062057E77,29/07/2016,2016,192000,5.283301229,DN7 6TR,D,N,15,Yes,4,2
3B7E0B90-B4A8-EA99-E050-A8C062057E77,15/07/2016,2016,170000,5.230448921,DN14 6WB,D,N,15,Yes,3,2
3B7E0B90-B4C6-EA99-E050-A8C062057E77,23/08/2016,2016,245000,5.389166084,HU15 2GD,D,N,15,Yes,4,2
3E0330EF-DA50-8D89-E050-A8C062052140,18/08/2016,2016,210000,5.322219295,DN14 5PF,D,N,15,Yes,3,2
3E0330F0-6003-8D89-E050-A8C062052140,12/08/2016,2016,207500,5.317018101,DN8 5BJ,D,N,15,Yes,3,2
3E0330F0-A5BF-8D89-E050-A8C062052140,02/09/2016,2016,195000,5.290034611,DN14 6WB,D,N,15,Yes,3,2
3E0330F0-A617-8D89-E050-A8C062052140,02/09/2016,2016,248000,5.394451681,DN14 9TE,D,N,15,Yes,4,2
3E0330F0-A61F-8D89-E050-A8C062052140,09/09/2016,2016,196000,5.292256071,DN14 6US,D,N,15,Yes,2,2
3E77BF4B-9DCB-4D09-8800-F0F107F9C222,18/05/2012,2012,168000,5.225309282,DN14 7AG,D,N,15,Yes,4,1
3FAA3EFD-EB2C-44CB-A6F2-9A6A4567DCC8,05/12/2012,2012,180000,5.255272505,DN14 6RQ,D,N,15,Yes,3,1
404A5AF3-900F-CD2B-E050-A8C063055C7B,28/09/2016,2016,310000,5.491361694,DN9 1PY,D,N,15,Yes,4,2
404A5AF3-DC8B-CD2B-E050-A8C063055C7B,06/10/2016,2016,325000,5.511883361,YO8 6RJ,D,N,15,Yes,4,2
404A5AF3-DCA4-CD2B-E050-A8C063055C7B,14/10/2016,2016,330000,5.51851394,YO8 6RJ,D,N,15,Yes,4,2
404A5AF4-49B6-CD2B-E050-A8C063055C7B,30/09/2016,2016,150000,5.176091259,DN14 8PH,D,N,15,Yes,2,2
4126A318-1ECE-471E-B201-9B7A8AF115F5,02/08/2013,2013,152000,5.181843588,DN14 6WB,D,N,15,Yes,3,1
426EFA1C-DFB6-4C12-8F0C-600F85487A97,05/09/2012,2012,307500,5.48784512,YO8 6RJ,D,N,15,Yes,4,1
42A098BB-C44D-423E-ADB5-B4D285C359BD,21/06/2013,2013,128000,5.10720997,DN17 4DN,D,N,15,Yes,3,1
42A5A709-4395-56E8-E050-A8C06205331E,03/11/2016,2016,150000,5.176091259,DN17 4LY,D,N,15,Yes,3,2
